Фамилия;q
Имя;qw
Отчество;q
Любопытство, азарт;4
Умиротворенность, уравновешенность;1
Хладнокровие, объективность;1
Соперничество, самоуверенность;1
Авантюризм, склонность к риску;1
Настороженность, отстраненность;1
Адаптивность, конформизм;1
Неугомонность, нетерпеливость;1
Сфокусированность, детализация;1
Резкость, стремительность;1
Многозадачность, разнообразие;1
Размеренность, неспешность;1
Точность, организованность;1
Преданность, чувство долга;1
Целеустремленность, амбициозность;1
Живость, экспрессивность;1
Стремление к победе;1
Работа в команде;1
Генерация идей;1
Следование правилам;1
Радушие, оптимизм;2
Автономность, обособленность;1
Новаторство, бунтарство;1
Заинтересованность, вовлеченность;1
Бодрость духа, пылкость;1
Перфекционизм, обстоятельность;1
Отзывчивость, сочувствие;1
Деловая хватка, предприимчивость;1
Рассудительность, вдумчивость;1
Напористость, решительность;1
Скромность, учтивость;1
Жизнерадостность, позитивность;1
Экспансивность, первенство;1
Импровизация, находчивость;1
Сотрудничество, взаимовыручка;1
Собранность, сосредоточенность;1
Прямолинейность, откровенность;1
Основательность, систематичность;1
Остроумие, артистичность;1
Заботливость, самоотверженность;1
Верность, надежность;1
Директивность, влияние;1
Самообладание, выдержка;1
Убедительность, красноречие;1
Любознательность, энергичность;1
Непоколебимость, бескомпромиссность;1
Бдительность, осторожность;1
Неконфликтность, миролюбие;1
Скрупулезность, внимание к деталям;1
Инициативность, неутомимость;1
Обаятельность, магнетизм;1
Сердечность, чуткость;1
Предусмотрительность, подготовленность;1
Обходительность, вежливость;1
Независимость, упрямство;1
Притягательность, шарм;1
Стремление быть в центре внимания;1
Стремление помогать людям;1
Стремление быть лидером;1
Стремление просчитать риски;1
Твердость характера, настойчивость;1
Увлеченность, энтузиазм;1
Покладистость, терпимость;1
Осмотрительность, расчетливость;1
Аккуратность, педантичность;1
Дипломатичность, деликатность;1
Харизматичность, выразительность;1
Требовательность, вспыльчивость;1
Решимость, бесстрашие;1
Почтительность, корректность;1
Общительность, душа компании;1
Тщательность, въедливость;1
Возбудимость, восторженность;1
Участливость, искренность;1
Стремление к вершинам, сила воли;1
Последовательность, методичность;1
Творчество, оригинальность;1
Добродушие, принятие;1
Беспристрастность, дотошность;1
Воинственность, конфликтность;1
Яркое воображение;1
Аналитический ум;1
Бойцовские качества;1
Верность группе;1
Щедрость, бескорыстность;1
Авторитетность, властность;1
Педантичность, строгость;1
Эмоциональность, раскованность;1
Спонтанность, энергичность;1
Сдержанность, невозмутимость;1
Состязательность, стремление к победе;1
Приветливость, мягкость;1
Привлекательность, очаровательность;1
Любезность, душевность;1
Смелость, отвага;1
Логичность, структурированность;1

Ваш подтип;Норм работяга
